wavelength_angstrom,opacity_cm_minus_1
5063.0,1.382487917626693e-15
5063.1,1.3832324917055066e-15
5063.2,1.3839776674603393e-15
5063.3,1.3847234455396478e-15
5063.4,1.3854698265927455e-15
5063.5,1.3862168112698214e-15
5063.6,1.3869644002219566e-15
5063.7,1.3877125941010955e-15
5063.8,1.3884613935600589e-15
5063.9,1.3892107992525685e-15
5064.0,1.3899608118332106e-15
5064.1,1.3907114319574536e-15
5064.2,1.3914626602816707e-15
5064.3,1.392214497463101e-15
5064.4,1.3929669441598761e-15
5064.5,1.3937200010310312e-15
5064.6,1.3944736687364755e-15
5064.7,1.395227947937012e-15
5064.8,1.3959828392943534e-15
5064.9,1.3967383434710905e-15
5065.0,1.397494461130713e-15
5065.1,1.3982511929376227e-15
5065.2,1.3990085395571062e-15
5065.3,1.3997665016553553e-15
5065.4,1.4005250798994613e-15
5065.5,1.4012842749574327e-15
5065.6,1.4020440874981695e-15
5065.7,1.4028045181914794e-15
5065.8,1.4035655677080919e-15
5065.9,1.404327236719632e-15
5066.0,1.4050895258986374e-15
5066.1,1.4058524359185714e-15
5066.2,1.4066159674537989e-15
5066.3,1.4073801211795993e-15
5066.4,1.4081448977721848e-15
5066.5,1.4089102979086712e-15
5066.6,1.409676322267096e-15
5066.7,1.410442971526432e-15
5066.8,1.411210246366561e-15
5066.9,1.4119781474682894e-15
5067.0,1.4127466755133652e-15
5067.1,1.4135158311844499e-15
5067.2,1.4142856151651334e-15
5067.3,1.4150560281399525e-15
5067.4,1.4158270707943602e-15
5067.5,1.4165987438147452e-15
5067.6,1.417371047888445e-15
5067.7,1.418143983703721e-15
5067.8,1.4189175519497711e-15
5067.9,1.41969175331675e-15
5068.0,1.420466588495738e-15
5068.1,1.421242058178759e-15
5068.2,1.422018163058798e-15
5068.3,1.4227949038297685e-15
5068.4,1.423572281186534e-15
5068.5,1.424350295824921e-15
5068.6,1.4251289484416938e-15
5068.7,1.4259082397345677e-15
5068.8,1.426688170402227e-15
5068.9,1.4274687411442979e-15
5069.0,1.4282499526613683e-15
5069.1,1.4290318056549777e-15
5069.2,1.4298143008276453e-15
5069.3,1.4305974388828344e-15
5069.4,1.4313812205249705e-15
5069.5,1.432165646459463e-15
5069.6,1.4329507173926708e-15
5069.7,1.4337364340319201e-15
5069.8,1.434522797085524e-15
5069.9,1.4353098072627517e-15
5070.0,1.436097465273843e-15
5070.1,1.4368857718300318e-15
5070.2,1.4376747276435108e-15
5070.3,1.4384643334274475e-15
5070.4,1.4392545898960112e-15
5070.5,1.440045497764331e-15
5070.6,1.4408370577485203e-15
5070.7,1.4416292705656942e-15
5070.8,1.4424221369339356e-15
5070.9,1.4432156575723167e-15
5071.0,1.4440098332009153e-15
5071.1,1.4448046645407813e-15
5071.2,1.44560015231396e-15
5071.3,1.4463962972435065e-15
5071.4,1.4471931000534532e-15
5071.5,1.447990561468833e-15
5071.6,1.4487886822156928e-15
5071.7,1.4495874630210626e-15
5071.8,1.4503869046129772e-15
5071.9,1.4511870077204915e-15
5072.0,1.4519877730736472e-15
5072.1,1.4527892014034958e-15
5072.2,1.4535912934421149e-15
5072.3,1.4543940499225731e-15
5072.4,1.4551974715789599e-15
5072.5,1.4560015591463725e-15
5072.6,1.45680631336094e-15
5072.7,1.457611734959792e-15
5072.8,1.4584178246810796e-15
5072.9,1.4592245832639884e-15
5073.0,1.4600320114487103e-15
5073.1,1.4608401099764636e-15
