# Korg.jl Solar Spectrum - Complete Data
# Generated on: 2025-07-31T21:55:00.448
# Parameters: Teff=5780 K, logg=4.44, [M/H]=0.0, vmic=1.0 km/s
# Wavelength range: (5000, 5200) Å
# Synthesis time: 56.38 seconds
# Total wavelength points: 20001
# Strong absorption lines (>10% depth): 6154
# Deepest line: 5185.05 Å, 89.2% depth
#
# Column 1: Wavelength (Å)
# Column 2: Absolute Flux (erg/s/cm²/Å)
# Column 3: Continuum Flux (erg/s/cm²/Å)
# Column 4: Normalized Flux (dimensionless)
#
# Wavelength    AbsoluteFlux      ContinuumFlux     NormalizedFlux
 5004.0100     5.456238e+14     1.047177e+15      0.521043
 5004.0200     7.456751e+14     1.047170e+15      0.712086
 5004.0300     9.062933e+14     1.047163e+15      0.865475
 5004.0400     9.795324e+14     1.047157e+15      0.935421
 5004.0500     1.002838e+15     1.047150e+15      0.957683
 5004.0600     1.008893e+15     1.047143e+15      0.963472
 5004.0700     1.009645e+15     1.047136e+15      0.964196
 5004.0800     1.007781e+15     1.047129e+15      0.962423
 5004.0900     1.003404e+15     1.047122e+15      0.958249
 5004.1000     9.955073e+14     1.047115e+15      0.950714
 5004.1100     9.811577e+14     1.047108e+15      0.937016
 5004.1200     9.495764e+14     1.047101e+15      0.906862
 5004.1300     8.701723e+14     1.047095e+15      0.831035
 5004.1400     7.017235e+14     1.047088e+15      0.670167
 5004.1500     4.888508e+14     1.047081e+15      0.466870
 5004.1600     3.509944e+14     1.047074e+15      0.335215
 5004.1700     2.912541e+14     1.047067e+15      0.278162
 5004.1800     2.672873e+14     1.047060e+15      0.255274
 5004.1900     2.631158e+14     1.047053e+15      0.251292
 5004.2000     2.765409e+14     1.047046e+15      0.264115
 5004.2100     3.151811e+14     1.047040e+15      0.301021
 5004.2200     4.081296e+14     1.047033e+15      0.389796
 5004.2300     5.938770e+14     1.047026e+15      0.567204
 5004.2400     7.999814e+14     1.047019e+15      0.764056
 5004.2500     9.216923e+14     1.047012e+15      0.880307
 5004.2600     9.729129e+14     1.047005e+15      0.929234
 5004.2700     9.946776e+14     1.046998e+15      0.950028
 5004.2800     1.006461e+15     1.046991e+15      0.961289
 5004.2900     1.013992e+15     1.046984e+15      0.968488
 5004.3000     1.019209e+15     1.046978e+15      0.973477
 5004.3100     1.023046e+15     1.046971e+15      0.977149
 5004.3200     1.026052e+15     1.046964e+15      0.980026
