# Korg.jl Solar Spectrum
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux
 5010.8200      0.752202
 5010.8300      0.760897
 5010.8400      0.789532
 5010.8500      0.834961
 5010.8600      0.886856
 5010.8700      0.928660
 5010.8800      0.947464
 5010.8900      0.941666
 5010.9000      0.919272
 5010.9100      0.892754
 5010.9200      0.873735
 5010.9300      0.870161
 5010.9400      0.883646
 5010.9500      0.909462
 5010.9600      0.938860
 5010.9700      0.962911
 5010.9800      0.974327
 5010.9900      0.963012
 5011.0000      0.910835
 5011.0100      0.804769
 5011.0200      0.671679
 5011.0300      0.566329
 5011.0400      0.520579
 5011.0500      0.539293
 5011.0600      0.621330
 5011.0700      0.749153
 5011.0800      0.873363
 5011.0900      0.950829
 5011.1000      0.983317
 5011.1100      0.993240
 5011.1200      0.995614
 5011.1300      0.995912
 5011.1400      0.995173
 5011.1500      0.992352
 5011.1600      0.984172
 5011.1700      0.965452
 5011.1800      0.933763
 5011.1900      0.896563
 5011.2000      0.870673
 5011.2100      0.869819
 5011.2200      0.894435
 5011.2300      0.931424
 5011.2400      0.963750
 5011.2500      0.983193
 5011.2600      0.991800
 5011.2700      0.994802
 5011.2800      0.995671
 5011.2900      0.995829
 5011.3000      0.995624
 5011.3100      0.995332
 5011.3200      0.994837
 5011.3300      0.994036
 5011.3400      0.992608
